"valuation_date","ticker","quote_date","stale_days","price"
2017-09-29,"^GSPC",2017-09-29,0,2519.36010742188
2017-10-06,"^GSPC",2017-10-06,0,2549.330078125
2017-10-13,"^GSPC",2017-10-13,0,2553.169921875
2017-10-20,"^GSPC",2017-10-20,0,2575.2099609375
2017-10-27,"^GSPC",2017-10-27,0,2581.07006835938
2017-11-03,"^GSPC",2017-11-03,0,2587.84008789062
2017-11-10,"^GSPC",2017-11-10,0,2582.30004882812
2017-11-17,"^GSPC",2017-11-17,0,2578.85009765625
2017-11-24,"^GSPC",2017-11-24,0,2602.419921875
2017-12-01,"^GSPC",2017-12-01,0,2642.21997070312
2017-12-08,"^GSPC",2017-12-08,0,2651.5
2017-12-15,"^GSPC",2017-12-15,0,2675.81005859375
2017-12-22,"^GSPC",2017-12-22,0,2683.34008789062
2017-12-29,"^GSPC",2017-12-29,0,2673.61010742188
2018-01-05,"^GSPC",2018-01-05,0,2743.14990234375
2018-01-12,"^GSPC",2018-01-12,0,2786.23999023438
2018-01-19,"^GSPC",2018-01-19,0,2810.30004882812
2018-01-26,"^GSPC",2018-01-26,0,2872.8701171875
2018-02-02,"^GSPC",2018-02-02,0,2762.1298828125
2018-02-09,"^GSPC",2018-02-09,0,2619.55004882812
2018-02-16,"^GSPC",2018-02-16,0,2732.21997070312
2018-02-23,"^GSPC",2018-02-23,0,2747.30004882812
2018-03-02,"^GSPC",2018-03-02,0,2691.25
2018-03-09,"^GSPC",2018-03-09,0,2786.57006835938
2018-03-16,"^GSPC",2018-03-16,0,2752.01000976562
2018-03-23,"^GSPC",2018-03-23,0,2588.26000976562
2018-03-30,"^GSPC",2018-03-29,1,2640.8701171875
2018-04-06,"^GSPC",2018-04-06,0,2604.46997070312
2018-04-13,"^GSPC",2018-04-13,0,2656.30004882812
2018-04-20,"^GSPC",2018-04-20,0,2670.13989257812
2018-04-27,"^GSPC",2018-04-27,0,2669.90991210938
2018-05-04,"^GSPC",2018-05-04,0,2663.419921875
2018-05-11,"^GSPC",2018-05-11,0,2727.71997070312
